Name;;RA;;;Dec;;K;V_H;sig;sour;type;d1;d2;;;
;hh;mm;ss.ss;ddd;mm;dd.d;mag;km/s;km/s;;;arcmin;;;;
121756.77+2040163;12;17;56.77;+20;40;16.3;13.37;0;0;0;;0.25;0.23;1.492;0.869;0.940  
121757.67+0809581;12;17;57.67;+08;09;58.1;12.74;26846;50;5920;;0.23;0.19;1.128;0.453;0.840  
121758.05+0716261;12;17;58.05;+07;16;26.1;10.76;3838;9;2212;2;0.69;0.64;0.961;0.287;0.940  
121758.11+0711091;12;17;58.11;+07;11;9.1;10.48;3720;3;651;5A_s;1.22;0.78;0.849;0.211;0.640  
121759.43+0535553;12;17;59.43;+05;35;55.3;11.14;2685;30;2774;-2;0.53;0.48;0.895;0.201;0.900  
121800.02-0057326;12;18;0.02;-00;57;32.6;12.84;35511;26;5906;19;0.29;0.23;1.287;0.523;0.800  
121801.53+0514034;12;18;1.53;+05;14;3.4;12.89;0;0;0;;0.24;0.14;0.949;0.378;0.580  
121801.91+0606141;12;18;1.91;+06;06;14.1;13.25;23153;51;5918;;0.19;0.17;0.938;0.269;0.880  
121802.26+1819413;12;18;2.26;+18;19;41.3;12.91;0;0;0;;0.28;0.22;1.083;0.271;0.800  
121803.26-0503076;12;18;3.26;-05;03;7.6;13.42;0;0;0;;0.24;0.22;1.134;0.319;0.880  
121803.42-0054466;12;18;3.42;-00;54;46.6;13.18;6318;20;5906;19;0.30;0.17;1.083;0.316;0.560  
121803.78+0427564;12;18;3.78;+04;27;56.4;13.26;24040;53;5918;;0.36;0.14;1.446;0.898;0.386  
121804.21+1044122;12;18;4.21;+10;44;12.2;12.64;15618;51;5918;;0.34;0.15;1.217;0.372;0.440  
121804.23+0333174;12;18;4.23;+03;33;17.4;12.69;23510;41;5918;;0.27;0.22;1.069;0.445;0.800  
121804.53+2334593;12;18;4.53;+23;34;59.3;12.88;17148;68;2795;;0.36;0.30;0.989;0.334;0.840  
121804.69+1557568;12;18;4.69;+15;57;56.8;12.09;6852;48;2700;20;0.72;0.17;0.934;0.190;0.240  
121805.22+2248443;12;18;5.22;+22;48;44.3;13.33;0;0;0;;0.22;0.15;1.064;0.418;0.680  
121805.48+3420068;12;18;5.48;+34;20;6.8;13.40;53354;52;5920;;0.23;0.16;1.294;0.499;0.720  
121805.75+0604122;12;18;5.75;+06;04;12.2;13.33;40031;51;5920;;0.22;0.22;1.111;0.215;1.000  
121806.23+0342114;12;18;6.23;+03;42;11.4;13.21;23149;55;5918;;0.23;0.23;1.148;0.408;1.000  
121806.36+1117272;12;18;6.36;+11;17;27.2;13.43;44306;57;5920;;0.19;0.19;1.318;0.643;1.000  
121806.69+1429078;12;18;6.69;+14;29;7.8;13.32;0;0;0;;0.23;0.13;1.130;0.318;0.540  
121806.80+0541044;12;18;6.80;+05;41;4.4;12.06;2545;37;2774;1;0.49;0.40;0.845;0.147;0.820  
121806.85+1053462;12;18;6.85;+10;53;46.2;11.67;7129;26;-160;;0.43;0.25;0.916;0.273;0.580  
121808.07-0437566;12;18;8.07;-04;37;56.6;12.74;21944;85;1781;;0.31;0.25;1.122;0.375;0.800  
121808.09+0608222;12;18;8.09;+06;08;22.2;11.02;5477;30;2754;0B;0.48;0.35;0.929;0.242;0.720  
121808.30+2810310;12;18;8.30;+28;10;31.0;7.79;1067;21;2700;-1A_R;1.76;0.88;0.908;0.235;0.500  
121808.30-0345026;12;18;8.30;-03;45;2.6;13.36;0;0;0;;0.28;0.22;0.990;0.219;0.780  
121808.46+2441180;12;18;8.46;+24;41;18.0;12.29;6806;19;274;15;0.52;0.44;0.931;0.294;0.860  
121808.48+0521354;12;18;8.48;+05;21;35.4;13.36;23424;45;1149;;0.22;0.14;1.351;0.513;0.660  
121808.56-0103506;12;18;8.56;-01;03;50.6;11.23;5707;5;910;4;0.56;0.31;0.990;0.272;0.560  
121808.58+2127064;12;18;8.58;+21;27;6.4;13.34;0;0;0;;0.18;0.16;1.081;0.376;0.880  
121809.50+1056552;12;18;9.50;+10;56;55.2;12.47;7269;44;5920;;0.46;0.30;0.798;0.154;0.640  
121809.88+2021204;12;18;9.88;+20;21;20.4;12.30;0;0;0;;0.33;0.23;1.283;0.514;0.680  
121810.63+3314498;12;18;10.63;+33;14;49.8;13.26;21084;51;5920;;0.20;0.14;0.940;0.153;0.700  
121810.71+1335169;12;18;10.71;+13;35;16.9;13.25;26585;51;5920;;0.30;0.12;1.186;0.398;0.400  
121810.72+2802300;12;18;10.72;+28;02;30.0;12.58;24155;220;1823;;0.26;0.25;1.108;0.435;0.940  
121811.22+2251464;12;18;11.22;+22;51;46.4;12.87;0;0;0;;0.40;0.35;1.059;0.399;0.860  
121811.49+2832400;12;18;11.49;+28;32;40.0;12.40;0;0;0;;0.42;0.24;0.973;0.252;0.580  
121811.50+1303019;12;18;11.50;+13;03;1.9;13.00;19831;47;5920;;0.36;0.15;1.097;0.445;0.420  
121814.22+1439240;12;18;14.22;+14;39;24.0;12.69;13113;51;1763;;0.27;0.14;1.019;0.315;0.520  
121814.46+0636142;12;18;14.46;+06;36;14.2;12.37;2587;42;5920;;0.43;0.40;0.945;0.152;0.940  
121815.21+2000394;12;18;15.21;+20;00;39.4;12.27;8744;138;3578;;0.41;0.26;1.082;0.396;0.640  
121815.31+0347184;12;18;15.31;+03;47;18.4;13.14;22759;49;5918;;0.27;0.24;1.060;0.358;0.920  
121816.15-0050026;12;18;16.15;-00;50;2.6;13.33;47523;26;5906;19;0.23;0.18;1.258;0.782;0.780  
121817.29+2803380;12;18;17.29;+28;03;38.0;12.91;0;0;0;;0.29;0.17;1.292;0.550;0.580  
121817.30+1122082;12;18;17.30;+11;22;8.2;13.05;7817;78;1763;;0.27;0.15;1.045;0.297;0.560  
121817.39+0210454;12;18;17.39;+02;10;45.4;12.27;22634;85;1781;;0.45;0.42;1.107;0.448;0.920  
121817.65+0221204;12;18;17.65;+02;21;20.4;13.15;22573;48;5918;;0.21;0.18;1.022;0.371;0.840  
121817.72+1315230;12;18;17.72;+13;15;23.0;12.79;20739;55;5920;;0.36;0.25;1.010;0.433;0.700  
121819.30+2915130;12;18;19.30;+29;15;13.0;12.42;14750;0;1172;;0.37;0.27;1.134;0.349;0.720  
121819.62+0456064;12;18;19.62;+04;56;6.4;12.65;22818;53;5918;;0.31;0.26;1.162;0.434;0.820  
121819.74+2652150;12;18;19.74;+26;52;15.0;12.61;0;0;0;;0.28;0.16;1.019;0.273;0.560  
121819.91+0210194;12;18;19.91;+02;10;19.4;12.42;22666;62;5918;;0.32;0.27;1.099;0.502;0.840  
121820.18+2815290;12;18;20.18;+28;15;29.0;13.25;0;0;0;;0.23;0.16;1.003;0.268;0.680  
121820.23+0806222;12;18;20.23;+08;06;22.2;13.13;27571;55;5920;;0.23;0.15;1.247;0.455;0.660  
121820.69+1636450;12;18;20.69;+16;36;45.0;12.98;0;0;0;;0.24;0.18;1.120;0.406;0.760  
121820.90+0408294;12;18;20.90;+04;08;29.4;12.96;23929;16;5918;;0.36;0.13;1.299;0.485;0.360  
121821.07-0737267;12;18;21.07;-07;37;26.7;12.86;0;0;0;;0.22;0.15;1.129;0.388;0.660  
121821.45+2513001;12;18;21.45;+25;13;0.1;11.27;6948;2;661;3;0.66;0.42;0.914;0.273;0.640  
121822.29+0452074;12;18;22.29;+04;52;7.4;12.51;22719;48;5918;;0.30;0.24;1.010;0.407;0.800  
121822.69-0731517;12;18;22.69;-07;31;51.7;13.46;0;0;0;;0.25;0.15;1.230;0.476;0.580  
121822.72+0200574;12;18;22.72;+02;00;57.4;13.48;40293;55;5918;;0.26;0.15;1.950;0.738;0.560  
121823.29+2858101;12;18;23.29;+28;58;10.1;13.19;23354;0;1172;;0.22;0.10;1.267;0.474;0.480  
121823.86+2008299;12;18;23.86;+20;08;29.9;13.07;8516;94;3578;-6;0.21;0.21;0.932;0.280;0.960  
121824.28+2818311;12;18;24.28;+28;18;31.1;12.20;0;0;0;;0.44;0.31;0.948;0.256;0.720  
121824.58+0327134;12;18;24.58;+03;27;13.4;13.15;23310;55;5918;;0.18;0.18;1.191;0.474;1.000  
121824.64-0440007;12;18;24.64;-04;40;0.7;13.46;23179;87;1777;;0.24;0.17;1.025;0.519;0.700  
121824.69+2801221;12;18;24.69;+28;01;22.1;12.71;0;0;0;;0.46;0.28;1.377;0.523;0.600  
121825.05+3358177;12;18;25.05;+33;58;17.7;13.02;17274;51;5920;;0.31;0.24;1.021;0.267;0.760  
121825.89+2250210;12;18;25.89;+22;50;21.0;13.39;0;0;0;;0.19;0.17;1.174;0.520;0.880  
121826.40+3152438;12;18;26.40;+31;52;43.8;12.49;0;0;0;;0.28;0.21;1.109;0.363;0.760  
121826.48+2948461;12;18;26.48;+29;48;46.1;9.92;3876;16;2724;1B_P;0.66;0.55;1.258;0.533;0.840  
121826.70+0830502;12;18;26.70;+08;30;50.2;13.43;40486;48;5920;;0.25;0.25;1.195;0.662;1.000  
121826.78+0458444;12;18;26.78;+04;58;44.4;12.75;22046;50;5918;;0.56;0.34;1.020;0.284;0.600  
121827.25+0319324;12;18;27.25;+03;19;32.4;12.62;23154;50;5918;;0.28;0.25;1.107;0.427;0.900  
121827.42+2006370;12;18;27.42;+20;06;37.0;12.63;8445;0;2779;;0.26;0.11;0.901;0.177;0.440  
121827.45+0226404;12;18;27.45;+02;26;40.4;12.52;22567;51;5918;;0.37;0.17;1.080;0.380;0.460  
121827.62+2812291;12;18;27.62;+28;12;29.1;13.19;0;0;0;;0.23;0.15;1.235;0.503;0.660  
121827.66+1241470;12;18;27.66;+12;41;47.0;11.91;7595;105;656;;0.53;0.15;1.314;0.466;0.280  
121828.63+1715580;12;18;28.63;+17;15;58.0;12.07;7626;32;-160;;0.34;0.14;0.985;0.286;0.400  
121829.68-0738117;12;18;29.68;-07;38;11.7;12.54;0;0;0;;0.42;0.24;0.860;0.205;0.580  
121830.02+3430560;12;18;30.02;+34;30;56.0;12.98;18275;55;5920;;0.25;0.12;1.066;0.304;0.460  
121830.86-0453507;12;18;30.86;-04;53;50.7;13.21;0;0;0;;0.23;0.15;1.255;0.512;0.640  
121830.93+0533344;12;18;30.93;+05;33;34.4;12.48;863;9;2212;20;0.22;0.08;0.799;0.115;0.360  
121831.32+3429120;12;18;31.32;+34;29;12.0;13.02;18137;28;5920;;0.40;0.22;1.169;0.382;0.560  
121831.58+2559571;12;18;31.58;+25;59;57.1;13.37;0;0;0;;0.30;0.14;0.840;0.255;0.480  
121831.73-0452437;12;18;31.73;-04;52;43.7;12.22;0;0;0;;0.31;0.28;1.183;0.405;0.920  
121832.13+0532304;12;18;32.13;+05;32;30.4;12.50;34010;49;5918;;0.39;0.23;1.410;0.537;0.600  
121832.81+1824340;12;18;32.81;+18;24;34.0;13.30;0;0;0;;0.38;0.15;1.388;0.589;0.380  
121834.29+1251210;12;18;34.29;+12;51;21.0;13.42;7728;52;5920;;0.31;0.14;1.109;0.445;0.440  
121834.33+0338424;12;18;34.33;+03;38;42.4;13.25;23301;59;5918;;0.21;0.13;1.253;0.412;0.640  
121834.55+0544274;12;18;34.55;+05;44;27.4;12.74;23535;61;5918;;0.26;0.16;1.118;0.353;0.620  
121834.59-0840269;12;18;34.59;-08;40;26.9;13.25;0;0;0;;0.22;0.08;0.917;0.319;0.340  
121834.75+3230281;12;18;34.75;+32;30;28.1;12.63;0;0;0;;0.30;0.26;1.015;0.399;0.880  
121835.18+1152125;12;18;35.18;+11;52;12.5;13.24;8688;100;3700;7;0.44;0.36;1.035;0.323;0.820  
121835.59-0609379;12;18;35.59;-06;09;37.9;13.32;23850;26;5100;;0.17;0.17;1.052;0.365;1.000  
121835.65+2648251;12;18;35.65;+26;48;25.1;13.29;0;0;0;;0.22;0.15;1.149;0.322;0.720  
121835.73+1011075;12;18;35.73;+10;11;7.5;12.72;0;0;0;;0.32;0.26;1.146;0.464;0.820  
121835.75+0516564;12;18;35.75;+05;16;56.4;13.36;22987;26;1149;;0.21;0.13;1.145;0.302;0.620  
121835.86+2848131;12;18;35.86;+28;48;13.1;13.11;0;0;0;;0.24;0.19;0.972;0.438;0.800  
121836.28+0434394;12;18;36.28;+04;34;39.4;12.70;23104;51;5918;;0.30;0.20;1.037;0.283;0.680  
121836.82-0816289;12;18;36.82;-08;16;28.9;12.60;14777;80;6002;;0.32;0.23;1.088;0.366;0.720  
121837.13+1348540;12;18;37.13;+13;48;54.0;13.42;20880;61;5920;;0.29;0.17;1.044;0.255;0.600  
121837.37+1256150;12;18;37.37;+12;56;15.0;12.07;7713;60;1806;;0.41;0.15;0.957;0.236;0.360  
121838.66+0642295;12;18;38.66;+06;42;29.5;13.17;1999;3;653;5__/;0.58;0.23;0.892;0.325;0.400  
121838.70+3154191;12;18;38.70;+31;54;19.1;12.74;0;0;0;;0.30;0.22;1.009;0.335;0.760  
121838.92-0742329;12;18;38.92;-07;42;32.9;12.52;18865;80;6002;;0.35;0.12;1.161;0.294;0.360  
121839.69+0500014;12;18;39.69;+05;00;1.4;13.40;22734;55;5918;;0.25;0.22;0.981;0.245;0.880  
121840.25-0015227;12;18;40.25;-00;15;22.7;12.05;23898;45;5901;;0.26;0.21;1.104;0.354;0.820  
121840.36-0344257;12;18;40.36;-03;44;25.7;13.02;21943;33;5100;;0.20;0.15;1.098;0.400;0.720  
121840.77+0511024;12;18;40.77;+05;11;2.4;13.01;23377;47;5918;;0.41;0.30;1.360;0.704;0.740  
121841.07-0816589;12;18;41.07;-08;16;58.9;13.12;25716;80;6003;;0.33;0.17;1.261;0.579;0.520  
121841.57+2849241;12;18;41.57;+28;49;24.1;13.41;0;0;0;;0.24;0.12;1.188;0.474;0.480  
121841.63-0459057;12;18;41.63;-04;59;5.7;12.70;37174;80;6003;;0.39;0.21;1.240;0.406;0.540  
121841.73+1811390;12;18;41.73;+18;11;39.0;12.52;9358;166;3578;;0.30;0.18;1.155;0.425;0.580  
121841.86+1143555;12;18;41.86;+11;43;55.5;12.77;11635;2;661;5;0.38;0.16;1.061;0.300;0.420  
121842.35-0645559;12;18;42.35;-06;45;55.9;12.56;8834;80;6003;;0.29;0.24;1.022;0.401;0.840  
121842.41+3333191;12;18;42.41;+33;33;19.1;13.25;31517;47;5920;;0.35;0.19;1.357;0.571;0.540  
121842.97-0502107;12;18;42.97;-05;02;10.7;13.09;0;0;0;;0.19;0.15;1.218;0.466;0.800  
121843.09+1136165;12;18;43.09;+11;36;16.5;12.88;11566;44;1763;;0.26;0.17;1.088;0.372;0.640  
121843.16+1143345;12;18;43.16;+11;43;34.5;13.02;11566;30;1806;10;0.24;0.16;1.512;1.055;0.660  
121843.24-0500517;12;18;43.24;-05;00;51.7;13.45;0;0;0;;0.25;0.18;1.223;0.476;0.720  
121845.32-0531377;12;18;45.32;-05;31;37.7;12.83;9886;80;6003;;0.27;0.19;0.947;0.310;0.700  
121845.41+1221437;12;18;45.41;+12;21;43.7;13.34;27883;50;5920;;0.20;0.10;1.129;0.533;0.520  
121845.61+1153345;12;18;45.61;+11;53;34.5;12.70;8094;45;5920;;0.25;0.18;0.888;0.182;0.700  
121845.70+3319521;12;18;45.70;+33;19;52.1;13.06;31571;42;5920;;0.46;0.31;1.146;0.645;0.680  
121846.51-0507452;12;18;46.51;-05;07;45.2;13.41;0;0;0;;0.21;0.21;1.496;0.670;1.000  
121846.82+3101271;12;18;46.82;+31;01;27.1;12.92;0;0;0;;0.37;0.12;1.002;0.290;0.320  
121846.83-0542592;12;18;46.83;-05;42;59.2;13.15;0;0;0;;0.25;0.22;1.085;0.323;0.900  
121847.66+0329083;12;18;47.66;+03;29;8.3;12.99;23151;56;5918;;0.22;0.11;1.147;0.371;0.500  
121848.70+0418453;12;18;48.70;+04;18;45.3;13.46;22868;48;5918;;0.30;0.18;1.034;0.319;0.620  
121849.15-0801159;12;18;49.15;-08;01;15.9;13.23;0;0;0;;0.29;0.20;1.190;0.679;0.680  
121849.36+3349461;12;18;49.36;+33;49;46.1;13.47;17274;52;5920;;0.37;0.27;1.178;0.341;0.720  
121849.62+1424593;12;18;49.62;+14;24;59.3;7.10;2406;3;2212;5A1s;3.40;3.18;0.929;0.284;0.935  
121849.75-0102492;12;18;49.75;-01;02;49.2;12.28;34716;31;5906;19;0.51;0.36;1.301;0.604;0.700  
121850.54+0529023;12;18;50.54;+05;29;2.3;12.75;22898;51;5918;;0.36;0.14;1.107;0.479;0.380  
121850.85+0600393;12;18;50.85;+06;00;39.3;13.15;35299;50;5918;;0.30;0.13;1.429;0.646;0.440  
121850.89+0751425;12;18;50.89;+07;51;42.5;11.56;1741;53;2774;-5;0.77;0.72;0.733;0.078;0.940  
121851.28-0645589;12;18;51.28;-06;45;58.9;11.11;9117;48;-160;-3;0.73;0.60;0.954;0.278;0.820  
121852.35+0514443;12;18;52.35;+05;14;44.3;11.49;22569;28;1149;;0.79;0.66;0.964;0.276;0.840  
121852.36-0655059;12;18;52.36;-06;55;5.9;13.10;14880;39;5100;;0.35;0.18;1.112;0.373;0.500  
121852.95+2744405;12;18;52.95;+27;44;40.5;12.56;0;0;0;;0.25;0.14;0.967;0.303;0.560  
121853.02+0303533;12;18;53.02;+03;03;53.3;12.96;0;0;0;;0.26;0.14;1.037;0.351;0.520  
121853.42+0300513;12;18;53.42;+03;00;51.3;11.88;6706;17;2774;-3;0.35;0.19;1.048;0.343;0.540  
121853.47+2220160;12;18;53.47;+22;20;16.0;13.29;0;0;0;;0.25;0.20;1.292;0.588;0.820  
121853.55+0259323;12;18;53.55;+02;59;32.3;12.72;6601;33;5918;;0.39;0.24;1.038;0.307;0.620  
121853.71+1254457;12;18;53.71;+12;54;45.7;10.38;7825;19;0;-4__P;0.67;0.43;0.959;0.261;0.640  
121853.73+2037530;12;18;53.73;+20;37;53.0;13.13;0;0;0;;0.19;0.13;1.094;0.356;0.660  
121853.86+0115573;12;18;53.86;+01;15;57.3;12.76;22314;54;5918;;0.27;0.16;1.263;0.429;0.580  
121853.95+1000095;12;18;53.95;+10;00;9.5;12.10;12964;29;-160;;0.35;0.21;1.035;0.301;0.600  
121853.96+1556417;12;18;53.96;+15;56;41.7;13.19;21351;47;5920;;0.23;0.13;1.013;0.285;0.580  
121854.40-0533002;12;18;54.40;-05;33;0.2;12.95;0;0;0;;0.25;0.21;1.190;0.411;0.840  
121854.48+2048345;12;18;54.48;+20;48;34.5;12.87;0;0;0;;0.36;0.27;1.007;0.299;0.740  
121854.69+1228117;12;18;54.69;+12;28;11.7;13.26;6399;10;2;6;0.32;0.13;1.147;0.376;0.420  
121855.23+0514563;12;18;55.23;+05;14;56.3;13.14;22685;39;1149;;0.23;0.23;1.388;0.566;1.000  
121855.26+2048455;12;18;55.26;+20;48;45.5;12.78;0;0;0;;0.40;0.21;1.187;0.463;0.520  
121855.64+1844005;12;18;55.64;+18;44;0.5;12.94;0;0;0;;0.34;0.27;1.232;0.605;0.780  
121856.09+0857415;12;18;56.09;+08;57;41.5;11.09;4448;33;2700;1;0.46;0.27;0.961;0.298;0.580  
121856.12+1226427;12;18;56.12;+12;26;42.7;12.54;27931;61;5920;;0.31;0.22;1.104;0.394;0.700  
121856.15-0101292;12;18;56.15;-01;01;29.2;12.96;36364;50;5918;;0.29;0.25;1.073;0.565;0.840  
121856.18+0447093;12;18;56.18;+04;47;9.3;9.56;1955;49;1300;-2;0.89;0.44;0.909;0.223;0.500  
121856.75-0553512;12;18;56.75;-05;53;51.2;13.31;23810;52;5100;;0.17;0.13;0.968;0.284;0.760  
121857.32+0611035;12;18;57.32;+06;11;3.5;11.15;7181;29;2700;5;0.62;0.22;1.021;0.368;0.360  
121857.33+1327117;12;18;57.33;+13;27;11.7;12.84;19438;33;5920;;0.24;0.12;1.279;0.365;0.520  
121857.50+0517023;12;18;57.50;+05;17;2.3;13.22;21569;25;1149;;0.25;0.16;1.165;0.480;0.620  
121857.63+0807235;12;18;57.63;+08;07;23.5;12.96;27991;41;5920;;0.27;0.15;1.243;0.649;0.560  
121857.69+2952455;12;18;57.69;+29;52;45.5;13.28;0;0;0;;0.36;0.10;1.132;0.494;0.280  
121858.24+0515163;12;18;58.24;+05;15;16.3;12.26;23152;31;1149;;0.32;0.27;1.167;0.414;0.840  
121858.44+2411105;12;18;58.44;+24;11;10.5;11.03;7355;8;645;-2;0.62;0.30;1.068;0.295;0.480  
121858.61-0002342;12;18;58.61;-00;02;34.2;13.15;55678;26;5906;19;0.32;0.18;1.264;0.579;0.560  
121858.67+3434221;12;18;58.67;+34;34;22.1;13.41;18326;44;5920;;0.27;0.19;0.986;0.199;0.700  
121859.06+2118205;12;18;59.06;+21;18;20.5;13.45;0;0;0;;0.34;0.10;1.059;0.269;0.300  
121859.17+2753465;12;18;59.17;+27;53;46.5;13.34;0;0;0;;0.19;0.13;1.081;0.380;0.700  
121859.43-0517202;12;18;59.43;-05;17;20.2;13.02;0;0;0;;0.25;0.16;1.259;0.493;0.640  
121900.28+3101401;12;19;0.28;+31;01;40.1;13.00;0;0;0;;0.33;0.14;1.346;0.557;0.420  
121900.38+2430285;12;19;0.38;+24;30;28.5;12.96;0;0;0;;0.31;0.19;1.282;0.576;0.620  
121900.57+0605403;12;19;0.57;+06;05;40.3;12.21;1575;36;2779;1B;0.39;0.24;0.924;0.209;0.620  
121901.92+1930505;12;19;1.92;+19;30;50.5;13.45;0;0;0;;0.24;0.22;1.253;0.788;0.900  
121902.13+1430147;12;19;2.13;+14;30;14.7;13.26;39008;47;5920;;0.24;0.21;1.250;0.432;0.860  
121902.25-0754364;12;19;2.25;-07;54;36.4;13.32;0;0;0;;0.33;0.19;1.194;0.470;0.580  
121902.49+2306136;12;19;2.49;+23;06;13.6;13.03;0;0;0;;0.24;0.14;1.036;0.338;0.580  
121903.02+1303487;12;19;3.02;+13;03;48.7;13.25;27934;54;5920;;0.23;0.23;1.226;0.692;1.000  
121903.52+2816455;12;19;3.52;+28;16;45.5;13.11;0;0;0;;0.34;0.15;0.995;0.301;0.440  
121903.77+1211017;12;19;3.77;+12;11;1.7;13.34;28795;20;5920;;0.29;0.13;1.029;0.240;0.460  
121904.43+0740316;12;19;4.43;+07;40;31.6;13.24;27296;49;5920;;0.20;0.20;0.908;0.365;1.000  
121904.58-0459362;12;19;4.58;-04;59;36.2;12.03;0;0;0;;0.36;0.23;1.049;0.305;0.640  
121904.93+2839215;12;19;4.93;+28;39;21.5;13.13;0;0;0;;0.28;0.12;1.101;0.418;0.440  
121905.29+2106326;12;19;5.29;+21;06;32.6;12.34;0;0;0;;0.43;0.28;1.085;0.342;0.660  
121905.40+2717535;12;19;5.40;+27;17;53.5;13.44;6962;46;4011;;0.30;0.19;0.925;0.481;0.620  
121905.61+1611047;12;19;5.61;+16;11;4.7;13.32;22418;56;5920;;0.19;0.12;1.113;0.451;0.600  
121905.98+1658147;12;19;5.98;+16;58;14.7;12.36;13387;30;2700;-2;0.28;0.21;1.016;0.362;0.780  
121906.08+0450043;12;19;6.08;+04;50;4.3;12.96;22904;53;5918;;0.21;0.16;1.110;0.381;0.760  
121906.47+0543333;12;19;6.47;+05;43;33.3;10.78;2756;35;2700;2;0.69;0.23;0.946;0.243;0.340  
121906.61+0520023;12;19;6.61;+05;20;2.3;13.00;23167;29;1149;;0.19;0.13;1.021;0.355;0.660  
121906.87+1352477;12;19;6.87;+13;52;47.7;13.30;24361;30;5920;;0.26;0.14;1.297;0.538;0.520  
121907.10+2215506;12;19;7.10;+22;15;50.6;13.26;0;0;0;;0.24;0.18;1.168;0.549;0.760  
121907.57-0816364;12;19;7.57;-08;16;36.4;11.89;31478;80;6003;;0.72;0.52;1.193;0.637;0.720  
121907.59+2841125;12;19;7.59;+28;41;12.5;13.33;0;0;0;;0.29;0.16;1.492;0.796;0.560  
121908.75+1157586;12;19;8.75;+11;57;58.6;13.31;19079;65;1763;;0.32;0.19;0.904;0.171;0.600  
121908.75-0148292;12;19;8.75;-01;48;29.2;13.08;33033;0;514;;0.25;0.17;1.323;0.587;0.680  
121908.78+3020206;12;19;8.78;+30;20;20.6;12.52;0;0;0;;0.31;0.23;0.987;0.319;0.740  
121908.79-0448482;12;19;8.79;-04;48;48.2;13.34;0;0;0;;0.26;0.26;1.419;0.709;1.000  
121908.92-0424582;12;19;8.92;-04;24;58.2;13.47;26141;85;1781;;0.24;0.12;1.019;0.269;0.520  
121909.18+2025566;12;19;9.18;+20;25;56.6;12.38;0;0;0;;0.37;0.26;1.025;0.284;0.720  
121909.58+1142366;12;19;9.58;+11;42;36.6;11.63;11709;60;1806;-2;0.55;0.34;1.062;0.365;0.620  
121909.84+0351233;12;19;9.84;+03;51;23.3;12.47;1525;3;2212;11;0.46;0.28;0.675;0.131;0.620  
121909.84+2229076;12;19;9.84;+22;29;7.6;13.31;0;0;0;;0.27;0.16;1.070;0.299;0.580  
121910.07-0501122;12;19;10.07;-05;01;12.2;11.56;23968;37;-160;;0.42;0.40;1.117;0.406;0.940  
121910.33+2833245;12;19;10.33;+28;33;24.5;11.92;7936;23;-160;;0.51;0.19;0.915;0.253;0.380  
121910.91+1432126;12;19;10.91;+14;32;12.6;12.11;12252;74;1763;;0.41;0.30;1.021;0.324;0.740  
121911.15-0105372;12;19;11.15;-01;05;37.2;13.17;36634;52;5918;;0.26;0.14;1.499;0.697;0.540  
121911.26+2657445;12;19;11.26;+26;57;44.5;13.03;0;0;0;;0.27;0.27;1.278;0.788;1.000  
121911.27+1402486;12;19;11.27;+14;02;48.6;13.05;27781;63;5920;;0.24;0.20;1.174;0.540;0.840  
121911.72+3031536;12;19;11.72;+30;31;53.6;13.36;0;0;0;;0.19;0.12;1.136;0.442;0.620  
121911.85+1755156;12;19;11.85;+17;55;15.6;13.19;0;0;0;;0.33;0.27;1.090;0.442;0.820  
121911.94-0503392;12;19;11.94;-05;03;39.2;12.79;23479;80;6003;;0.38;0.29;0.991;0.384;0.760  
121912.28-0520292;12;19;12.28;-05;20;29.2;13.16;0;0;0;;0.16;0.12;1.019;0.468;0.720  
121912.38+0622536;12;19;12.38;+06;22;53.6;13.09;2834;46;2774;-2;0.35;0.21;0.746;0.130;0.600  
121912.55-0501162;12;19;12.55;-05;01;16.2;13.00;24193;85;1781;;0.39;0.35;1.013;0.405;0.900  
121912.74+0036183;12;19;12.74;+00;36;18.3;13.11;22149;87;1777;;0.20;0.16;1.174;0.491;0.820  
121913.37+2225536;12;19;13.37;+22;25;53.6;12.53;6682;1;661;5A;0.32;0.27;1.023;0.328;0.820  
121913.51+0526553;12;19;13.51;+05;26;55.3;12.93;23192;32;1149;;0.25;0.16;1.122;0.478;0.640  
121913.84+0519423;12;19;13.84;+05;19;42.3;13.33;23120;27;1149;;0.18;0.18;1.193;0.525;1.000  
121914.12+3346086;12;19;14.12;+33;46;8.6;13.11;18233;31;5920;;0.21;0.21;1.164;0.492;1.000  
121915.28+2555495;12;19;15.28;+25;55;49.5;12.06;6724;8;645;4;0.62;0.11;1.346;0.501;0.180  
121915.33+0618256;12;19;15.33;+06;18;25.6;12.90;2312;26;2700;-2;0.35;0.18;0.940;0.241;0.520  
121915.40-0511311;12;19;15.40;-05;11;31.1;13.17;0;0;0;;0.26;0.16;1.181;0.369;0.640  
121915.73-0544481;12;19;15.73;-05;44;48.1;13.19;0;0;0;;0.26;0.13;1.109;0.357;0.500  
121915.97+0516134;12;19;15.97;+05;16;13.4;12.10;24360;25;1149;;0.39;0.37;1.067;0.470;0.940  
121915.98+0506004;12;19;15.98;+05;06;0.4;13.17;23125;49;5918;;0.32;0.26;1.129;0.388;0.820  
121916.84-0724144;12;19;16.84;-07;24;14.4;12.29;30578;80;6003;;0.42;0.39;1.106;0.426;0.940  
121917.14+1200586;12;19;17.14;+12;00;58.6;11.82;7819;62;1763;;0.40;0.32;0.983;0.342;0.800  
