Name;;RA;;;Dec;;K;V_H;sig;sour;type;d1;d2;;;
;hh;mm;ss.ss;ddd;mm;dd.d;mag;km/s;km/s;;;arcmin;;;;
110148.94+1247521;11;01;48.94;+12;47;52.1;13.18;42537;49;5920;;0.21;0.21;1.348;0.693;1.000  
110149.19+1758580;11;01;49.19;+17;58;58.0;13.33;0;0;0;;0.26;0.16;1.345;0.666;0.620  
110149.51+2353360;11;01;49.51;+23;53;36.0;12.84;0;0;0;;0.28;0.25;1.149;0.553;0.900  
110150.61-0711593;11;01;50.61;-07;11;59.3;13.35;0;0;0;;0.24;0.18;1.328;0.603;0.760  
110150.95+1636251;11;01;50.95;+16;36;25.1;12.79;2948;1;651;4A;0.45;0.19;0.740;-0.051;0.420  
110151.08+2220400;11;01;51.08;+22;20;40.0;12.95;1334;24;2700;;0.45;0.22;0.677;0.056;0.480  
110151.92+1640381;11;01;51.92;+16;40;38.1;12.79;0;0;0;;0.23;0.17;1.224;0.466;0.760  
110152.23+2354093;11;01;52.23;+23;54;9.3;12.20;6201;102;1773;;0.52;0.24;0.983;0.346;0.460  
110152.26+3021248;11;01;52.26;+30;21;24.8;13.38;16395;49;5920;;0.30;0.19;1.027;0.258;0.640  
110152.42-0616414;11;01;52.42;-06;16;41.4;13.19;0;0;0;;0.26;0.21;0.947;0.343;0.840  
110152.62+0747547;11;01;52.62;+07;47;54.7;12.45;11296;31;5918;;0.30;0.21;1.332;0.522;0.700  
110152.72+0226198;11;01;52.72;+02;26;19.8;13.14;19261;32;5918;;0.39;0.20;1.193;0.539;0.520  
110153.83+0753577;11;01;53.83;+07;53;57.7;12.72;31054;44;5918;;0.46;0.34;1.304;0.463;0.740  
110154.25+3232288;11;01;54.25;+32;32;28.8;13.44;0;0;0;;0.27;0.17;1.237;0.774;0.640  
110155.44+2835413;11;01;55.44;+28;35;41.3;13.09;0;0;0;;0.26;0.12;1.181;0.500;0.440  
110155.49+1150547;11;01;55.49;+11;50;54.7;13.02;14116;40;2700;;0.34;0.29;1.042;0.175;0.860  
110156.42+1017267;11;01;56.42;+10;17;26.7;12.94;10416;2;661;7;0.37;0.30;1.057;0.381;0.800  
110156.47+1936483;11;01;56.47;+19;36;48.3;13.18;0;0;0;;0.24;0.22;0.998;0.195;0.940  
110156.91+0612537;11;01;56.91;+06;12;53.7;13.24;6643;13;5918;;0.27;0.11;1.062;0.403;0.420  
110156.92+1835203;11;01;56.92;+18;35;20.3;11.88;9444;16;-160;;0.42;0.17;1.153;0.409;0.400  
110157.91+1017397;11;01;57.91;+10;17;39.7;13.11;10204;341;5920;;0.28;0.21;1.054;0.528;0.760  
110158.88+2520263;11;01;58.88;+25;20;26.3;12.52;0;0;0;;0.45;0.11;1.164;0.343;0.240  
110158.89+0812077;11;01;58.89;+08;12;7.7;12.63;18307;51;5918;;0.55;0.27;1.104;0.341;0.500  
110158.95+0806317;11;01;58.95;+08;06;31.7;13.30;9053;23;5918;;0.27;0.16;1.121;0.326;0.600  
110159.22+0039308;11;01;59.22;+00;39;30.8;12.88;26229;41;5918;;0.48;0.34;1.062;0.474;0.700  
110159.57+0432218;11;01;59.57;+04;32;21.8;12.76;11503;49;5918;;0.24;0.16;1.085;0.408;0.660  
110201.00-0610493;11;02;1.00;-06;10;49.3;13.42;9473;85;1781;;0.35;0.22;0.769;0.223;0.640  
110201.14+2536573;11;02;1.14;+25;36;57.3;12.32;0;0;0;;0.32;0.18;1.110;0.378;0.560  
110201.85+0319428;11;02;1.85;+03;19;42.8;13.20;30070;37;5918;;0.24;0.13;1.372;0.916;0.560  
110201.89-0658013;11;02;1.89;-06;58;1.3;11.07;7598;46;3911;-2;0.61;0.50;0.994;0.330;0.820  
110201.92+0338088;11;02;1.92;+03;38;8.8;13.40;15708;34;5918;;0.28;0.13;0.975;0.235;0.480  
110202.22+1657431;11;02;2.22;+16;57;43.1;13.27;0;0;0;;0.22;0.22;1.257;0.524;1.000  
110202.48+1922103;11;02;2.48;+19;22;10.3;12.88;0;0;0;;0.24;0.22;1.132;0.402;0.920  
110202.52+0334488;11;02;2.52;+03;34;48.8;11.98;15714;32;2700;;0.35;0.22;1.019;0.418;0.620  
110203.12+0311468;11;02;3.12;+03;11;46.8;13.27;18373;51;5918;;0.20;0.13;1.209;0.500;0.620  
110203.36+1201111;11;02;3.36;+12;01;11.1;13.21;27958;53;5920;;0.33;0.23;0.915;0.384;0.680  
110203.77+2049233;11;02;3.77;+20;49;23.3;13.44;0;0;0;;0.30;0.15;0.879;0.208;0.500  
110203.86-0932053;11;02;3.86;-09;32;5.3;11.62;8009;26;-160;;0.44;0.19;0.923;0.251;0.440  
110205.33+3220249;11;02;5.33;+32;20;24.9;13.33;0;0;0;;0.19;0.13;1.426;0.595;0.680  
110205.40+0155558;11;02;5.40;+01;55;55.8;12.94;29696;44;5918;;0.35;0.15;1.230;0.489;0.420  
110205.82-0931483;11;02;5.82;-09;31;48.3;12.88;23479;80;6003;;0.22;0.18;1.032;0.289;0.820  
110205.89+1945433;11;02;5.89;+19;45;43.3;13.02;0;0;0;;0.23;0.13;1.276;0.580;0.560  
110207.28+0145478;11;02;7.28;+01;45;47.8;11.46;11417;46;-160;;0.47;0.19;1.020;0.380;0.400  
110207.84+1409402;11;02;7.84;+14;09;40.2;13.14;41437;47;5920;;0.27;0.18;1.224;0.492;0.680  
110207.86-0340301;11;02;7.86;-03;40;30.1;12.88;16972;87;1777;;0.30;0.23;1.030;0.366;0.760  
110208.08+0409279;11;02;8.08;+04;09;27.9;13.03;41364;52;5918;;0.21;0.21;1.432;0.804;1.000  
110209.05+3200499;11;02;9.05;+32;00;49.9;13.37;0;0;0;;0.25;0.17;0.861;0.213;0.700  
110209.41+2814064;11;02;9.41;+28;14;6.4;12.74;0;0;0;;0.36;0.21;0.971;0.254;0.580  
110210.03+3017209;11;02;10.03;+30;17;20.9;12.80;10067;50;5920;;0.30;0.16;1.082;0.363;0.520  
110210.03-0532145;11;02;10.03;-05;32;14.5;12.00;13400;85;1781;;0.36;0.25;1.018;0.270;0.680  
110211.13+1839223;11;02;11.13;+18;39;22.3;12.61;0;0;0;;0.54;0.42;0.946;0.336;0.780  
110211.33+3130049;11;02;11.33;+31;30;4.9;13.13;17675;47;5920;;0.37;0.22;1.161;0.480;0.580  
110211.72+2548284;11;02;11.72;+25;48;28.4;13.49;0;0;0;;0.32;0.26;1.082;0.386;0.820  
110211.74+2702264;11;02;11.74;+27;02;26.4;12.68;0;0;0;;0.28;0.12;1.121;0.364;0.420  
110211.85-0429555;11;02;11.85;-04;29;55.5;12.36;20590;87;1777;;0.46;0.26;1.042;0.231;0.560  
110212.27+3132049;11;02;12.27;+31;32;4.9;12.27;0;0;0;;0.38;0.29;1.043;0.347;0.760  
110212.37+2215033;11;02;12.37;+22;15;3.3;13.47;0;0;0;;0.30;0.25;1.042;0.454;0.840  
110212.58+0832486;11;02;12.58;+08;32;48.6;12.78;15037;49;5918;;0.37;0.18;0.970;0.505;0.500  
110212.72+0824186;11;02;12.72;+08;24;18.6;12.61;15077;49;5918;;0.34;0.16;1.097;0.370;0.460  
110213.19+0851576;11;02;13.19;+08;51;57.6;12.82;0;0;0;;0.24;0.24;87.182;0.298;1.000  
110213.23-0106465;11;02;13.23;-01;06;46.5;13.46;22214;85;1781;;0.34;0.14;0.979;0.212;0.400  
110213.66+0835046;11;02;13.66;+08;35;4.6;12.85;14692;30;5918;;0.34;0.17;1.022;0.317;0.500  
110213.99+2913214;11;02;13.99;+29;13;21.4;13.03;21510;49;-8;;0.32;0.23;1.107;0.435;0.740  
110214.13+2429544;11;02;14.13;+24;29;54.4;12.94;0;0;0;;0.32;0.30;1.257;0.529;0.940  
110215.53+1031016;11;02;15.53;+10;31;1.6;12.50;12602;39;2700;;0.34;0.30;1.002;0.296;0.900  
110215.67+2907254;11;02;15.67;+29;07;25.4;12.55;31778;44;-8;;0.40;0.33;1.216;0.515;0.820  
110215.87+0238480;11;02;15.87;+02;38;48.0;13.34;40113;50;5918;;0.34;0.23;1.088;0.375;0.660  
110216.43+3443179;11;02;16.43;+34;43;17.9;12.86;9482;50;5920;;0.30;0.21;0.876;0.291;0.720  
110217.15+1030266;11;02;17.15;+10;30;26.6;13.05;11832;44;2700;;0.25;0.14;0.904;0.266;0.560  
110217.18+0058000;11;02;17.18;+00;58;0.0;13.43;30672;61;1777;;0.21;0.13;1.621;0.995;0.592  
110217.33-0540535;11;02;17.33;-05;40;53.5;13.30;20176;85;1781;;0.28;0.20;1.054;0.336;0.720  
110217.41+1638463;11;02;17.41;+16;38;46.3;13.32;0;0;0;;0.37;0.24;0.998;0.256;0.660  
110217.49-0208085;11;02;17.49;-02;08;8.5;13.34;21230;87;1777;;0.30;0.13;1.045;0.266;0.438  
110219.87+0255250;11;02;19.87;+02;55;25.0;13.15;24812;44;5918;;0.27;0.18;1.114;0.403;0.680  
110220.25+3144485;11;02;20.25;+31;44;48.5;13.06;24325;57;5920;;0.27;0.22;1.185;0.408;0.820  
110220.75+1014356;11;02;20.75;+10;14;35.6;11.28;10717;58;5920;;0.54;0.45;0.974;0.306;0.820  
110220.90-0932143;11;02;20.90;-09;32;14.3;13.30;0;0;0;;0.21;0.11;1.144;0.274;0.500  
110221.28+0829156;11;02;21.28;+08;29;15.6;10.75;14875;37;2700;-2X;0.70;0.52;1.102;0.380;0.740  
